Year,Type,Country,Area,Activity,Injury,Fatal
2015,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Significant injuries to lower legs,N
2015,Unprovoked,Usa,North Carolina,Swimming,"Injuries to torso, hip, lower leg & hands",N
2015,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2015,Unprovoked,Usa,South Carolina,Playing In The Water,Injury,N
2015,Unprovoked,Usa,North Carolina,Swimming,"Injuries to right calf, buttock and both hands",N
2015,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2015,No Data,Usa,Florida,Swimming,Injury,No Data
2015,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2015,Unprovoked,Usa,South Carolina,Wading,Injury,N
2015,Provoked,Australia,Western Australia,Swimming,Injury,N
2015,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2015,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2015,No Data,Australia,Western Australia,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
2015,Unprovoked,Usa,South Carolina,Wading,Injury,N
2015,Unprovoked,Puerto Rico,No Data,Diving,Injury to hand,N
2015,Unprovoked,Usa,Florida,Swimming,Injury,N
2015,Unprovoked,Usa,North Carolina,Wading,Arm amputated below shoulder,N
2015,Unprovoked,Usa,North Carolina,Wading,Left arm amputated at elbow & severe injury to leg,N
2015,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Playing,Injury,N
2015,Unprovoked,Usa,Florida,Attempting To Rescue A Shark,Puncture wound to finger,N
2015,Unprovoked,Reunion,Le Port,Surfing,Injury,N
2015,Unprovoked,Usa,Florida,Wading,Injury,N
2015,Unprovoked,Usa,Florida,Wading,Injury,N
2015,Unprovoked,French Polynesia,Rangiroa,Diving,Injury,N
2015,Unprovoked,Usa,Florida,Swimming,Injury,N
2015,Unprovoked,Usa,Florida,Surfing,Injury,N
2015,Unprovoked,New Caledonia,No Data,Swimming,Fatal,Y
2015,Unprovoked,Usa,Florida,Swimming,Injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,Injuries to left arm & right hand,N
2015,Unprovoked,South Africa,Eastern Cape Province,Diving,"Injuries to leg, left arm & both hands",N
2015,Unprovoked,Usa,Hawaii,Swimming,Fatal,Y
2015,Unprovoked,Usa,Florida,Wading,Injury,N
2015,Unprovoked,Australia,South Australia,Surfing,Injury,N
2015,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2015,Unprovoked,Usa,Florida,Photographing The Shark,Injury,N
2015,Unprovoked,Reunion,Saint-Gilles-Les-Bains,Surfing,Fatal,Y
2015,Unprovoked,Australia,New South Wales,Boating,Injury,N
2015,Unprovoked,Usa,Florida,Diving,Injuries to head & torso,N
2015,No Data,Italy,Sardinia,Diving,Fatal,No Data
2015,No Data,Brazil,Pernambuco,Surfing,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,No Data
